"File","Issues"
"E:\_src\C_Lang\knowledge\00_INDEX.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\00_INDUSTRIAL_EMBEDDED_INDEX.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\README.md","multi_h1(12); unclosed_fence(63)"
"E:\_src\C_Lang\knowledge\00_VERSION_TRACKING\BROKEN_LINKS_FIXED.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\00_VERSION_TRACKING\C23_to_C2y_Roadmap.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\00_VERSION_TRACKING\External_Event_Driven_Update_Mechanism.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\00_VERSION_TRACKING\GCC_15_C23_Default.md","multi_h1(105)"
"E:\_src\C_Lang\knowledge\00_VERSION_TRACKING\GCC_16_C2y_Support.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\00_VERSION_TRACKING\LLVM_21_C23_Update.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\00_VERSION_TRACKING\LLVM_22_C23_Update.md","multi_h1(89)"
"E:\_src\C_Lang\knowledge\00_VERSION_TRACKING\OpenSSL_3.0_EOL_Migration.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\00_VERSION_TRACKING\README.md","multi_h1(10)"
"E:\_src\C_Lang\knowledge\00_VERSION_TRACKING\VISUALIZATION_GUIDE.md","multi_h1(9)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\01_Basic_Layer\IEEE_754_Floating_Point\02_IEEE_754_Operations.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\01_Basic_Layer\IEEE_754_Floating_Point\03_Decimal_Floating_Point.md","multi_h1(6)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\02_Core_Layer\01_Pointer_Depth.md","multi_h1(6)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\02_Core_Layer\02_Memory_Management.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\03_Construction_Layer\02_Preprocessor.md","multi_h1(14)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\03_Construction_Layer\03_Modularization_Linking.md","multi_h1(45)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\04_Standard_Library_Layer\10_Threads_C11.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\04_Standard_Library_Layer\Standard_Library_Internals\01_Malloc_Implementation.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\05_Engineering\08_Code_Review_Checklist.md","multi_h1(22)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\05_Engineering\README.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\05_Engineering\01_Build_System\01_Makefile.md","multi_h1(37)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\05_Engineering\01_Build_System\README.md","multi_h1(53)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\05_Engineering_Layer\01_Compilation_Build.md","multi_h1(6)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\05_Engineering_Layer\02_Code_Quality.md","multi_h1(11)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\05_Engineering_Layer\02_Debug_Techniques.md","multi_h1(30)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\05_Engineering_Layer\03_Performance_Optimization.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\05_Engineering_Layer\04_Performance_Optimization_Advanced.md","multi_h1(9)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\05_Engineering_Layer\05_Conan_Package_Management.md","multi_h1(30)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\05_Engineering_Layer\06_Performance_Engineering.md","multi_h1(14)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\05_Engineering_Layer\README.md","multi_h1(33)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\05_Engineering_Layer\Compiler_Optimization_Deep\01_Loop_Optimization.md","multi_h1(6)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\05_Engineering_Layer\Compiler_Optimization_Deep\02_Auto_Vectorization.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\06_Advanced_Layer\02_Undefined_Behavior.md","multi_h1(9)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\07_Modern_C\02_C17_C23_Features.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\07_Modern_C\03_C23_Core_Features.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\07_Modern_C\04_C23_Memory_Security.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\07_Modern_C\05_C23_BitInt_Practical.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\07_Modern_C\C2y_Countof_Depth.md","multi_h1(24)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\07_Modern_C\C2y_Defer_Depth.md","multi_h1(15)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\07_Modern_C\C2y_If_Declaration_Depth.md","multi_h1(4); unclosed_fence(89)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\07_Modern_C\README.md","multi_h1(12)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\07_Modern_C\C2y_Preview\04_Counter_Macro.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\00_Quick_Reference_Guide.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\04_Secure_Coding_Guide.md","multi_h1(110)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\CISA_2026_Mandate_Depth.md","multi_h1(24)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\README.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\CERT_C_2024\README.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\Formal_Verification\Case_Studies.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\Formal_Verification\README.md","multi_h1(6)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\ISO_IEC_TS_17961\README.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2023\01_MISRA_C_2023_Rules_1-5.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2023\02_MISRA_C_2023_Rules_2.md","multi_h1(15)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2023\04_MISRA_C_2023_Rules_4.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2023\06_MISRA_C_2023_Rules_6.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2023\07_MISRA_C_2023_Rules_7.md","multi_h1(6)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2023\08_MISRA_C_2023_Rules_8.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2023\README.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2023\tools\01_MISRA_Toolchain_Guide.md","multi_h1(2); unclosed_fence(57)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2023\tools\02_Helix_QAC_Guide.md","multi_h1(114)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2025\MISRA_C_2023_to_2025_Migration_Guide.md","multi_h1(22)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2025\MISRA_C_2025_Comprehensive_Guide.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2025\MISRA_C_2025_Rules_Dir1.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2025\tools\README.md","multi_h1(11)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2025\tools\docs\DEVIATIONS.md","unclosed_fence(3)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2025\tools\docs\MISRA_COMPLIANCE.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\POSIX_1_2024\01_POSIX_System_Programming.md","multi_h1(15)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\Vulnerability_Cases\01_Buffer_Overflow_Cases.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\Vulnerability_Cases\02_Use_After_Free_Cases.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\Vulnerability_Cases\03_Integer_Overflow_Cases.md","multi_h1(6)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\Vulnerability_Cases\04_Format_String_Cases.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\Vulnerability_Cases\05_Race_Condition_Cases.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\09_Safety_Standards\Vulnerability_Cases\README.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\11_Internationalization\README.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\01_Core_Knowledge_System\22_Testing_Techniques\01_Unit_Testing_C.md","multi_h1(10)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\02_Coalgebraic_Methods\02_Bisimulation.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\04_Cognitive_Representation\README.md","multi_h1(50)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\06_C_Assembly_Mapping\README.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\07_Microarchitecture\03_Cache_Optimization_Practical.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\07_Microarchitecture\README.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\08_Linking_Loading_Topology\00_COMPILATION_CHAIN.md","multi_h1(14)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\08_Linking_Loading_Topology\03_Static_Linking_Deep.md","multi_h1(22)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\08_Linking_Loading_Topology\04_Dynamic_Linking_Deep.md","multi_h1(45)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\08_Linking_Loading_Topology\05_Loader_Deep.md","multi_h1(33)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\08_Linking_Loading_Topology\06_Debug_Info_Formats.md","multi_h1(18)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\08_Linking_Loading_Topology\README.md","multi_h1(46)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\09_Physical_Machine_Layer\01_CPU_Microarchitecture_Detail.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\09_Physical_Machine_Layer\04_SIMD_Vectorization.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\09_Physical_Machine_Layer\05_Modern_CPU_Architectures_2024.md","multi_h1(5); unclosed_fence(35)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\09_Physical_Machine_Layer\01_Digital_Logic_Foundations\02_Logic_Gates_Implementation.md","unclosed_fence(59)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_ISA_Machine_Code\06_Control_Unit_Design\01_Hardwired_Control.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_ISA_Machine_Code\08_RISCV_CPU_Complete\01_RV32I_Single_Cycle.md","multi_h1(12)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_ISA_Machine_Code\08_RISCV_CPU_Complete\04_RISCV_Simulator_in_C.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_ISA_Machine_Code\09_Interrupt_Hardware\02_System_Call_Hardware.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_Lean4_Compilation\01_Lean4_to_C_Compilation_Complete_Guide.md","multi_h1(9)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_Lean4_Compilation\05_Lean4_C_Deep_Dive_Extended.md","multi_h1(14)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_Lean4_Compilation\06_Lean4_C_Performance_Optimization_Casebook.md","multi_h1(6)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_Lean4_Compilation\COURSE_DESIGN.md","multi_h1(6)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_Lean4_Compilation\IMPLEMENTATION_GUIDE.md","multi_h1(10)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_Lean4_Compilation\IMPROVEMENT_PLAN.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_Lean4_Compilation\INDUSTRY_COMPILER_VERIFICATION.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_Lean4_Compilation\INTERACTIVE_TOOLS.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_Lean4_Compilation\LEAN4_ECOSYSTEM.md","multi_h1(41); unclosed_fence(135)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_Lean4_Compilation\LEAN4_SEMANTICS_MAPPING_DEEPENED.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_Lean4_Compilation\OPEN_SOURCE_GOVERNANCE.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_Lean4_Compilation\PERFECT_INTEGRATION.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_Lean4_Compilation\SEMANTIC_ENHANCEMENT_ROADMAP.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_Lean4_Compilation\SEMANTIC_SPECIFICATION.md","multi_h1(6)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_Lean4_Compilation\VERSION_EVOLUTION.md","multi_h1(10)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_Lean4_Compilation\Z8_MetaM_Extended.md","unclosed_fence(31)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\10_Lean4_Compilation\lean_examples\README.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\11_CompCert_Verification\01_Compcert_Overview.md","multi_h1(19)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\11_CompCert_Verification\02_VST_Separation_Logic_Practical.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\11_CompCert_Verification\04_Frama_C_2024_Guide.md","multi_h1(74)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\11_CompCert_Verification\04_Frama_C_Integration.md","multi_h1(11)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\11_CompCert_Verification\05_Eva_Tutorial.md","multi_h1(73)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\11_CompCert_Verification\05_Frama_C_LLM_Integration.md","multi_h1(32)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\11_CompCert_Verification\06_WP_Tutorial.md","multi_h1(36)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\11_CompCert_Verification\07_Industrial_Case_Studies.md","multi_h1(16)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\11_CompCert_Verification\08_MetAcsl_Metaprogramming.md","multi_h1(30)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\11_CompCert_Verification\README.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\11_CompCert_Verification\05_Practical_Verification_Cases\README.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\11_CompCert_Verification\06_Coq_Examples\01_Coq_Verification_Cases.md","multi_h1(11)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\11_CompCert_Verification\06_Coq_Examples\README.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\12_Compiler_Optimization\README.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\13_Hardware_Description\04_HLS_with_C\01_Vivado_HLS_Introduction.md","multi_h1(46)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\13_Hardware_Description\04_HLS_with_C\03_HLS_Optimization.md","multi_h1(15); unclosed_fence(49)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\14_C_to_Hardware_Mapping\04_Functions_to_Modules.md","unclosed_fence(47)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\16_Performance_Analysis_Hardware\01_PMU_Architecture.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\16_Performance_Analysis_Hardware\02_Linux_Perf_Tutorial.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\16_Performance_Analysis_Hardware\03_Top_Down_Analysis_Method.md","multi_h1(29)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\16_Performance_Analysis_Hardware\04_Microarchitecture_Benchmarking.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\18_FPGA_Labs\01_Lab1_Basic_Gates.md","multi_h1(46)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\18_FPGA_Labs\02_Lab2_ALU_Implementation.md","multi_h1(16)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\18_FPGA_Labs\03_Lab3_Single_Cycle_CPU.md","multi_h1(11)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\18_FPGA_Labs\04_Lab4_Pipelined_CPU.md","multi_h1(14); unclosed_fence(83)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\18_FPGA_Labs\05_Lab5_Cache_Controller.md","multi_h1(3); unclosed_fence(65)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\18_FPGA_Labs\06_Lab6_SoC_Integration.md","multi_h1(32); unclosed_fence(59)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\18_FPGA_Labs\code\README.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\18_FPGA_Labs\xdc\README.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\19_Hardware_Debugging\01_JTAG_Debug.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\19_Hardware_Debugging\02_ILA_Integrated_Logic_Analyzer.md","multi_h1(30)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\19_Hardware_Debugging\03_SignalTap_Quartus.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\20_Industrial_Case_Studies\02_Linux_on_RISCV.md","multi_h1(23)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\20_Industrial_Case_Studies\03_Baremetal_Embedded.md","multi_h1(9)"
"E:\_src\C_Lang\knowledge\02_Formal_Semantics_and_Physics\20_Industrial_Case_Studies\05_Cache_Optimization_Real_World.md","multi_h1(9)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\02_Cbindgen_Usage.md","multi_h1(59)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\03_HSM_Integration.md","multi_h1(22)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\03_Measured_Boot.md","multi_h1(32)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\03_RDMA_Connection.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\01_System_Programming\12_Code_Review_Principles.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\02_Regex_Engine\01_NFA_Implementation.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\04_Video_Codec\README.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\06_Security_Boot\03_Measured_Boot.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\07_Hardware_Security\04_Zero_Trust_Embedded_Architecture.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\10_Security_Engineering\07_Dependency_Security.md","multi_h1(18)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\10_Security_Engineering\08_Reverse_Engineering_Basics.md","multi_h1(12)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\15_Network_Programming\01_Socket_Programming.md","multi_h1(25)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\16_High_Performance_Computing\02_OpenMP_Parallelism.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\16_High_Performance_Computing\03_SIMD_Optimization.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\16_OS_Kernel\01_Linux_Kernel_Module_Programming.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\16_Rust_Interoperability\01_Rust_Call_C.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\16_Rust_Interoperability\02_C_Call_Rust.md","multi_h1(12)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\16_Rust_Interoperability\README.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\18_Systems_Performance\01_Linux_Performance_Tuning.md","multi_h1(60)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\18_Systems_Performance\02_BPF_Performance_Tools.md","multi_h1(38)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\19_Systems_Security\01_Reverse_Engineering.md","multi_h1(20)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\19_Systems_Security\02_Binary_Exploitation.md","multi_h1(28)"
