"File","Issues"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\21_OS_Internals\01_Kernel_Synchronization.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\22_Virtualization\01_KVM_Internals.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\03_System_Technology_Domains\23_Storage_Systems\02_SSD_Optimization.md","multi_h1(27)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\02_Automotive_ECU\01_CAN_Bus_Protocol.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\02_Automotive_ECU\02_Autosar_Architecture.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\04_5G_Baseband\01_SIMD_Vectorization.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\11_Space_Computing\01_SNN_Simulation.md","multi_h1(27)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\13_Linux_Kernel\01_Page_Table_Operations.md","multi_h1(31)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\13_Linux_Kernel\02_Kernel_Debugging_Deep.md","multi_h1(36)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\13_Linux_Kernel\03_Device_Driver_Development.md","multi_h1(46)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\13_Linux_Kernel\README.md","multi_h1(13)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\14_Embedded_IoT\03_FreeRTOS_vs_Zephyr_Comparison.md","multi_h1(9)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\14_Embedded_IoT\README.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\14_Embedded_IoT\Baremetal\01_Baremetal_Programming.md","multi_h1(56)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\14_Embedded_IoT\Baremetal\README.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\14_Embedded_IoT\ESP32\01_ESP32_Complete_Guide.md","multi_h1(70)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\14_Embedded_IoT\ESP32\README.md","multi_h1(17)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\14_Embedded_IoT\Industrial_Linux\01_Industrial_Linux_System.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\14_Embedded_IoT\Memory_Constrained\01_Memory_Constrained_Design.md","multi_h1(14)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\14_Embedded_IoT\Memory_Constrained\README.md","multi_h1(6)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\14_Embedded_IoT\RaspberryPi\01_RaspberryPi_Embedded_Linux.md","multi_h1(58)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\14_Embedded_IoT\RaspberryPi\README.md","multi_h1(25)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\14_Embedded_IoT\RPi_Pico\01_Pico_Complete_Guide.md","multi_h1(38)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\14_Embedded_IoT\RPi_Pico\README.md","multi_h1(21)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\15_Industrial_Communication\01_Industrial_Communication_Protocols.md","multi_h1(12); unclosed_fence(75)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\16_MIT_6S081_Labs\00_MIT_Labs_Overview.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\16_MIT_6S081_Labs\01_Lab1_Xv6_Utilities.md","multi_h1(9)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\16_MIT_6S081_Labs\02_Lab2_System_Calls.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\16_MIT_6S081_Labs\03_Lab3_Page_Tables.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\16_MIT_6S081_Labs\04_Lab4_Traps.md","multi_h1(10)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\16_MIT_6S081_Labs\06_Lab6_Multithreading.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\16_MIT_6S081_Labs\08_Lab8_Lock.md","multi_h1(6)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\16_MIT_6S081_Labs\11_Lab11_Optional_Challenges.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\17_CMU_15_213_Labs\01_Data_Lab.md","multi_h1(10)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\17_CMU_15_213_Labs\02_Bomb_Lab.md","multi_h1(23)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\17_CMU_15_213_Labs\03_Attack_Lab.md","multi_h1(46)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\17_CMU_15_213_Labs\04_Cache_Lab.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\17_CMU_15_213_Labs\05_Shell_Lab.md","multi_h1(6)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\17_CMU_15_213_Labs\06_Malloc_Lab.md","multi_h1(6)"
"E:\_src\C_Lang\knowledge\04_Industrial_Scenarios\17_CMU_15_213_Labs\07_Proxy_Lab.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\05_C_Language_Standards\C23_C2Y_ROADMAP.md","multi_h1(54)"
"E:\_src\C_Lang\knowledge\05_Deep_Structure_MetaPhysics\03_CBMC_Model_Checking.md","multi_h1(10)"
"E:\_src\C_Lang\knowledge\05_Deep_Structure_MetaPhysics\02_Algebraic_Topology\README.md","multi_h1(9)"
"E:\_src\C_Lang\knowledge\05_Deep_Structure_MetaPhysics\03_Verification_Energy\README.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\05_Deep_Structure_MetaPhysics\04_Formal_Verification_Energy\README.md","multi_h1(9)"
"E:\_src\C_Lang\knowledge\05_Deep_Structure_MetaPhysics\05_Lean_4\01_Lean_4_Introduction.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\05_Deep_Structure_MetaPhysics\05_Lean_4\07_Lean_Mathlib_Overview.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\05_Deep_Structure_MetaPhysics\06_Standard_Library_Physics\README.md","multi_h1(27)"
"E:\_src\C_Lang\knowledge\05_Deep_Structure_MetaPhysics\06_TLA_Plus\03_Model_Checking.md","multi_h1(17)"
"E:\_src\C_Lang\knowledge\05_Deep_Structure_MetaPhysics\08_Debugging_Tools\01_GDB_Debugging.md","multi_h1(38)"
"E:\_src\C_Lang\knowledge\05_Deep_Structure_MetaPhysics\08_Debugging_Tools\02_Valgrind_Memory.md","multi_h1(9)"
"E:\_src\C_Lang\knowledge\05_Deep_Structure_MetaPhysics\08_Debugging_Tools\03_Advanced_Debugging_Techniques.md","multi_h1(2); unclosed_fence(55)"
"E:\_src\C_Lang\knowledge\05_Deep_Structure_MetaPhysics\08_Debugging_Tools\README.md","multi_h1(51)"
"E:\_src\C_Lang\knowledge\05_Deep_Structure_MetaPhysics\09_Linking_Algebraic_Topology\README.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\05_Deep_Structure_MetaPhysics\10_Debug_Info_Encoding\README.md","multi_h1(11)"
"E:\_src\C_Lang\knowledge\05_Deep_Structure_MetaPhysics\13_Self_Modifying_Code\README.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\09_Systematic_Debugging_Methodology.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\01_Decision_Trees\01_Memory_Leak_Diagnosis.md","multi_h1(12)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\01_Decision_Trees\02_Segfault_Troubleshooting.md","multi_h1(41)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\01_Decision_Trees\03_Performance_Bottleneck.md","multi_h1(17)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\01_Decision_Trees\04_Compilation_Error.md","multi_h1(9)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\01_Decision_Trees\05_Concurrency_Debug.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\01_Decision_Trees\10_Compilation_Error_Diagnosis_Tree.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\01_Decision_Trees\README.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\02_Comparison_Matrices\01_Type_Storage_Matrix.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\02_Comparison_Matrices\02_Synchronization_Matrix.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\02_Comparison_Matrices\05_Compiler_Optimization_Matrix.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\02_Comparison_Matrices\05_Optimization_Levels_Matrix.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\02_Comparison_Matrices\06_Compiler_Options_Matrix.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\02_Multidimensional_Matrix\01_Standards_Comparison_Matrix.md","multi_h1(17)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\03_Decision_Trees\README.md","multi_h1(11)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\04_Case_Studies\01_Network_Server.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\04_Case_Studies\02_Database_Engine.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\04_Case_Studies\03_Operating_System.md","multi_h1(9)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\04_Case_Studies\07_Performance_Optimization.md","multi_h1(16)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\05_Concept_Mappings\01_Pointer_Memory_Mapping.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\05_Concept_Mappings\02_Compiler_Phases_Map.md","multi_h1(6)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\07_Knowledge_Graph\01_Knowledge_Graph.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\07_Knowledge_Graph\03_Prerequisite_Chains.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\06_Thinking_Representation\10_Concept_Maps\06_Compilation_Process_Map.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\05_Static_Analysis_Tools.md","multi_h1(46)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\06_Dynamic_Analysis_Tools.md","multi_h1(57)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\07_Performance_Tracing.md","multi_h1(96)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\08_Static_Analysis_Principles.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\11_Testing_Methodology.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\01_IDE_Editors\01_VS_Code_Setup.md","multi_h1(6)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\01_IDE_Editors\02_Neovim_Modern.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\01_IDE_Editors\03_CLion_Guide.md","multi_h1(13)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\01_IDE_Editors\04_Zed_Editor.md","multi_h1(17)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\01_IDE_Editors\05_Emacs_Config.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\01_IDE_Editors\README.md","multi_h1(23)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\02_Build_Systems_Modern\01_CMake_Best_Practices.md","multi_h1(45)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\02_Build_Systems_Modern\01_CMake_Modern_Best_Practices.md","multi_h1(36)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\02_Build_Systems_Modern\02_Meson_Build.md","multi_h1(56)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\02_Build_Systems_Modern\04_Bazel_C_Projects.md","multi_h1(63)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\02_Build_Systems_Modern\05_Build_System_Comparison.md","multi_h1(11)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\02_Build_Systems_Modern\README.md","multi_h1(56)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\03_CI_CD_DevOps\02_Docker_C_Development.md","multi_h1(65)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\03_CI_CD_DevOps\04_DevSecOps_Integration.md","multi_h1(29)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\03_CI_CD_DevOps\README.md","multi_h1(35)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\03_CI_CD_DevOps\05_CI_CD_Templates\README.md","multi_h1(11)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\04_Package_Management\01_Conan_Package_Manager.md","multi_h1(23); unclosed_fence(41)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\04_Package_Management\02_vcpkg_Guide.md","multi_h1(19)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\04_Package_Management\03_xrepo_Xmake.md","multi_h1(39)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\04_Package_Management\04_Dependency_Management_Best_Practices.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\04_Package_Management\README.md","multi_h1(43)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\05_Case_Studies\01_Redis_Architecture.md","multi_h1(19)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\05_Case_Studies\02_SQLite_Engineering.md","multi_h1(20)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\05_Case_Studies\03_Nginx_Build_System.md","multi_h1(15)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\05_Case_Studies\04_Linux_Kernel_Toolchain.md","multi_h1(72)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\05_Case_Studies\README.md","multi_h1(15)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\05_Code_Quality_Toolchain\01_Static_Analysis_Deep_Dive.md","multi_h1(29)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\05_Code_Quality_Toolchain\02_Code_Formatting_Testing.md","multi_h1(21)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\05_Code_Quality_Toolchain\02_Static_Analysis_Deep_Dive.md","multi_h1(33)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\05_Code_Quality_Toolchain\03_Code_Example_Validation.md","multi_h1(19)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\05_Code_Quality_Toolchain\03_Testing_Frameworks.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\05_Code_Quality_Toolchain\04_Code_Coverage_Guide.md","multi_h1(46)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\05_Code_Quality_Toolchain\05_Code_Review_Automation.md","multi_h1(35)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\05_Code_Quality_Toolchain\README.md","multi_h1(21)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\06_Project_Templates\01_Modern_C_Project_Template.md","multi_h1(24)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\06_Project_Templates\README.md","multi_h1(49)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\07_Concurrency_Parallelism\02_Lock_Free_Programming.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\07_Concurrency_Parallelism\README.md","multi_h1(40)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\12_Modern_C_Standards\01_C11_to_C23.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\12_Modern_C_Standards\README.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\13_Comprehensive_Examples\01_High_Performance_Server.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\13_Comprehensive_Examples\README.md","multi_h1(6)"
"E:\_src\C_Lang\knowledge\07_Modern_Toolchain\13_Zig_C_Interop\01_Zig_C_Interoperability.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\08_Zig_C_Connection\04_Rust_C_Interop_Safety.md","multi_h1(25)"
"E:\_src\C_Lang\knowledge\08_Zig_C_Connection\01_Type_System_Mapping\03_Function_Pointer_Compatibility.md","unclosed_fence(13)"
"E:\_src\C_Lang\knowledge\08_Zig_C_Connection\04_Translation_Validation\01_Translate_C_Semantics.md","multi_h1(6)"
"E:\_src\C_Lang\knowledge\08_Zig_C_Connection\04_Translation_Validation\README.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\08_Zig_C_Connection\06_C23_Zig_Parallel\README.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\10_WebAssembly_C\03_WASM_Modules_Memory_Management.md","multi_h1(16)"
"E:\_src\C_Lang\knowledge\10_WebAssembly_C\04_WASM_Performance_Optimization.md","multi_h1(68)"
"E:\_src\C_Lang\knowledge\10_WebAssembly_C\README.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\11_Machine_Learning_C\02_Matrix_Operations_BLAS.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\11_Machine_Learning_C\03_Embedded_AI_Deployment.md","multi_h1(25); unclosed_fence(61)"
"E:\_src\C_Lang\knowledge\11_Machine_Learning_C\06_ONNX_Runtime_C.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\11_Machine_Learning_C\07_llama_cpp_Deployment.md","multi_h1(9)"
"E:\_src\C_Lang\knowledge\11_Machine_Learning_C\README.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\12_Practice_Exercises\06_Performance_Optimization.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\12_Practice_Exercises\08_Concurrency_Parallelism_Labs.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\12_Practice_Exercises\09_Security_Coding.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\12_Practice_Exercises\10_Debugging_Puzzles.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\12_Practice_Exercises\11_Zig_C_Migration_Projects.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\12_Practice_Exercises\13_Real_World_Projects.md","multi_h1(17)"
"E:\_src\C_Lang\knowledge\12_Practice_Exercises\README.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\14_Video_Tutorials\01_Video_Scripts\03_Memory_Management.md","multi_h1(11)"
"E:\_src\C_Lang\knowledge\14_Video_Tutorials\01_Video_Scripts\04_Concurrency_Patterns.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\14_Video_Tutorials\01_Video_Scripts\05_Safety_Standards.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\14_Video_Tutorials\01_Video_Scripts\06_Modern_C_C23.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\14_Video_Tutorials\01_Video_Scripts\07_Zig_C_Interoperability.md","multi_h1(9)"
"E:\_src\C_Lang\knowledge\14_Video_Tutorials\01_Video_Scripts\08_Embedded_Systems.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\14_Video_Tutorials\01_Video_Scripts\09_Performance_Optimization.md","multi_h1(19)"
"E:\_src\C_Lang\knowledge\14_Video_Tutorials\01_Video_Scripts\10_Formal_Verification.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\14_Video_Tutorials\01_Video_Scripts\README.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\14_Video_Tutorials\02_Compiler_Explorer_Integration\Compiler_Explorer_Guide.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\14_Video_Tutorials\03_Interactive_Exercises\Exercise_Database_Schema.md","multi_h1(9)"
"E:\_src\C_Lang\knowledge\14_Video_Tutorials\03_Interactive_Exercises\Online_Exercise_Platform_Spec.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\14_Video_Tutorials\04_Video_Production_Guide\Video_Production_Best_Practices.md","multi_h1(3)"
"E:\_src\C_Lang\knowledge\15_Memory_Safe_Languages\01_Rust_vs_C\04_C_vs_Rust_Decision_Framework.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\15_Memory_Safe_Languages\01_Rust_vs_C\07_FFI_Best_Practices.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\15_Memory_Safe_Languages\01_Rust_vs_C\08_Incremental_Migration_Guide.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\15_Memory_Safe_Languages\02_Migration_Strategies\01_Incremental_Migration.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\15_Memory_Safe_Languages\04_Decision_Frameworks\01_Language_Selection_Guide.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\16_Embedded_AI_Agents\01_TinyML_Fundamentals\01_Introduction_to_TinyML.md","multi_h1(9)"
"E:\_src\C_Lang\knowledge\16_Embedded_AI_Agents\01_TinyML_Fundamentals\02_TensorFlow_Lite_Micro.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\16_Embedded_AI_Agents\02_LLMs_on_Edge\01_llama_cpp_Embedded_Deployment.md","multi_h1(27)"
"E:\_src\C_Lang\knowledge\16_Embedded_AI_Agents\02_LLMs_on_Edge\02_GGML_Optimization.md","multi_h1(23)"
"E:\_src\C_Lang\knowledge\16_Embedded_AI_Agents\03_AI_Agent_Runtime\01_ZeroClaw_Overview.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\16_Embedded_AI_Agents\05_Case_Studies\04_ZeroClaw_Edge_Deployment.md","multi_h1(20)"
"E:\_src\C_Lang\knowledge\16_Embedded_AI_Agents\06_C_Frameworks\01_CMSIS_NN.md","multi_h1(10)"
"E:\_src\C_Lang\knowledge\16_Embedded_AI_Agents\07_Hardware_Acceleration\01_NPU_TPU_C_Interfaces.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\16_Embedded_AI_Agents\08_Real_Time_AI\01_Deterministic_Inference.md","multi_h1(5)"
"E:\_src\C_Lang\knowledge\17_Ada_SPARK\02_SPARK_Verification\01_SPARK_Overview.md","multi_h1(7)"
"E:\_src\C_Lang\knowledge\17_Ada_SPARK\02_SPARK_Verification\02_Proof_Techniques.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\17_Ada_SPARK\03_Ada_C_Interoperability\02_Calling_Ada_from_C.md","multi_h1(9)"
"E:\_src\C_Lang\knowledge\17_Ada_SPARK\04_Safety_Standards\03_ISO_26262_Ada.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\17_Ada_SPARK\06_Migration_from_C\02_Mixed_C_Ada_Projects.md","multi_h1(34)"
"E:\_src\C_Lang\knowledge\21_Computation_Theory\01_Turing_Machines.md","multi_h1(14)"
"E:\_src\C_Lang\knowledge\21_Computation_Theory\02_Lambda_Calculus.md","multi_h1(12)"
"E:\_src\C_Lang\knowledge\22_Assembler_Implementation\03_C_to_Assembly_Data.md","multi_h1(24)"
"E:\_src\C_Lang\knowledge\22_Assembler_Implementation\04_C_to_Assembly_Control.md","multi_h1(18)"
"E:\_src\C_Lang\knowledge\24_Complete_Chain\02_Layer_Bridges.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\templates\README.md","multi_h1(6)"
"E:\_src\C_Lang\knowledge\Zig\README.md","multi_h1(37)"
"E:\_src\C_Lang\knowledge\Zig\Zig_Complete_Guide.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\Zig\Zig_C_Interoperability.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\Zig\Zig_Master_Guide.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\Zig\Zig_OS_Development.md","multi_h1(4)"
"E:\_src\C_Lang\knowledge\Zig\Zig_Package_Ecosystem.md","multi_h1(42)"
"E:\_src\C_Lang\knowledge\Zig\Zig_Performance_Optimization.md","multi_h1(13)"
"E:\_src\C_Lang\knowledge\Zig\Zig_Python_Binding.md","multi_h1(8)"
"E:\_src\C_Lang\knowledge\Zig\Zig_Testing_Debugging.md","multi_h1(2)"
"E:\_src\C_Lang\knowledge\Zig\Zig_WebAssembly.md","multi_h1(7)"
