"File","Lines","HasTOC","HasDeep","IsPlaceholder"
"02_Formal_Semantics_and_Physics\diagrams\network_statistics.md","26","No","No","No"
"06_Embedded_Bare_Metal\09_Embedded_Linux\01_Buildroot_Guide.md","32","No","No","No"
"09_Data_Structures_Algorithms\09_Distributed_Algorithms\01_Distributed_Consensus.md","32","No","No","No"
"20_Industrial_Case_Studies\23_Cache_System.md","32","No","Yes","No"
"09_Data_Structures_Algorithms\06_Mathematical_Computing\01_Arbitrary_Precision.md","34","No","No","No"
"09_Data_Structures_Algorithms\05_Algorithm_Implementations\03_LSM_Tree.md","34","No","No","No"
"09_Data_Structures_Algorithms\06_Mathematical_Computing\02_Linear_Algebra_Library.md","34","No","No","No"
"09_Data_Structures_Algorithms\06_Mathematical_Computing\03_Fourier_Transforms.md","34","No","No","No"
"09_Data_Structures_Algorithms\05_Algorithm_Implementations\04_B_Tree_Plus.md","34","No","No","No"
"09_Data_Structures_Algorithms\04_Advanced_Algorithms\03_Numerical_Algorithms.md","34","No","No","No"
"09_Data_Structures_Algorithms\04_Advanced_Algorithms\02_String_Algorithms.md","34","No","No","No"
"09_Data_Structures_Algorithms\04_Advanced_Algorithms\01_Graph_Algorithms.md","34","No","No","No"
"09_Cross_Platform_Development\05_Web_Assembly\01_C_to_WASM.md","34","No","No","No"
"09_Data_Structures_Algorithms\05_Algorithm_Implementations\02_AVL_Tree.md","34","No","No","No"
"09_Data_Structures_Algorithms\05_Algorithm_Implementations\01_Red_Black_Tree.md","34","No","No","No"
"09_Data_Structures_Algorithms\07_Geometric_Algorithms\01_Computational_Geometry.md","34","No","No","No"
"10_Modern_C_Development\03_Metaprogramming\02_C_Code_Generation.md","34","No","No","No"
"10_Modern_C_Development\03_Metaprogramming\01_C_Preprocessor_Metaprogramming.md","34","No","No","No"
"10_Modern_C_Development\02_Modern_Tooling\01_LLVM_Toolchain.md","34","No","No","No"
"11_Performance_Engineering\05_Profiling_Tools\01_Flame_Graphs.md","34","No","No","No"
"11_Performance_Engineering\04_Benchmarking\01_Google_Benchmark.md","34","No","No","No"
"11_Performance_Engineering\03_GPU_Programming\01_CUDA_C_Basics.md","34","No","No","No"
"09_Data_Structures_Algorithms\08_Probabilistic_Data_Structures\02_HyperLogLog.md","34","No","No","No"
"09_Data_Structures_Algorithms\08_Probabilistic_Data_Structures\01_Bloom_Filter.md","34","No","No","No"
"09_Data_Structures_Algorithms\07_Geometric_Algorithms\02_Collision_Detection.md","34","No","No","No"
"10_Modern_C_Development\01_Memory_Safety\01_Announcing_Ownership.md","34","No","No","No"
"09_Data_Structures_Algorithms\09_Distributed_Algorithms\02_Consistent_Hashing.md","34","No","No","No"
"09_Data_Structures_Algorithms\08_Probabilistic_Data_Structures\03_Count_Min_Sketch.md","34","No","No","No"
"09_Cross_Platform_Development\04_Mobile_Platforms\01_Android_NDK.md","34","No","No","No"
"07_Development_Methodology\10_Continuous_Integration\02_Docker_for_C.md","34","No","No","No"
"07_Development_Methodology\10_Continuous_Integration\01_CMake_CI_CD.md","34","No","No","No"
"07_Development_Methodology\09_Legacy_Code\02_Working_with_Legacy_Systems.md","34","No","No","No"
"07_Development_Methodology\11_Documentation_Standards\02_Architecture_Documentation.md","34","No","No","No"
"07_Development_Methodology\11_Documentation_Standards\01_C_API_Documentation.md","34","No","No","No"
"07_Development_Methodology\10_Continuous_Integration\03_Quality_Gates.md","34","No","No","No"
"07_Development_Methodology\09_Legacy_Code\01_Refactoring_C_Code.md","34","No","No","No"
"07_Development_Methodology\05_Performance_Optimization\01_Profiling_Methodology.md","34","No","No","No"
"06_Embedded_Bare_Metal\14_Aerospace\01_DO_178C.md","34","No","No","No"
"06_Embedded_Bare_Metal\13_Medical_Devices\01_Medical_Device_Software.md","34","No","No","No"
"07_Development_Methodology\08_Documentation\01_Technical_Writing_for_C.md","34","No","No","No"
"07_Development_Methodology\07_Code_Review\01_C_Code_Review_Guide.md","34","No","No","No"
"07_Development_Methodology\06_Security_Development\01_Secure_Coding_Practices.md","34","No","No","No"
"07_Development_Methodology\12_Team_Collaboration\01_Git_Workflows.md","34","No","No","No"
"08_Toolchain_Ecosystem\10_IDE_Integration\01_VSCode_C_Development.md","34","No","No","No"
"08_Toolchain_Ecosystem\09_Package_Managers\02_Conan_Package_Manager.md","34","No","No","No"
"08_Toolchain_Ecosystem\09_Package_Managers\01_vcpkg_Usage.md","34","No","No","No"
"08_Toolchain_Ecosystem\11_Code_Generation\02_AST_Transformation.md","34","No","No","No"
"08_Toolchain_Ecosystem\11_Code_Generation\01_Annoying_Tools.md","34","No","No","No"
"08_Toolchain_Ecosystem\10_IDE_Integration\02_CLion_C_Projects.md","34","No","No","No"
"08_Toolchain_Ecosystem\08_Testing_Tools\02_Fuzzing_with_LibFuzzer.md","34","No","No","No"
"08_Toolchain_Ecosystem\06_Debuggers\01_GDB_Advanced_Techniques.md","34","No","No","No"
"08_Toolchain_Ecosystem\05_Static_Analyzers\01_Clang_Static_Analyzer.md","34","No","No","No"
"07_Development_Methodology\12_Team_Collaboration\02_Open_Source_Governance.md","34","No","No","No"
"08_Toolchain_Ecosystem\08_Testing_Tools\01_GTest_Integration.md","34","No","No","No"
"08_Toolchain_Ecosystem\07_Build_Systems\02_Bazel_for_C.md","34","No","No","No"
"08_Toolchain_Ecosystem\07_Build_Systems\01_Meson_Build_System.md","34","No","No","No"
"20_Industrial_Case_Studies\25_Load_Balancer\01_Load_Balancer_Implementation.md","34","No","Yes","No"
"20_Industrial_Case_Studies\22_Time_Series_DB\01_Time_Series_Engine.md","34","No","Yes","No"
"20_Industrial_Case_Studies\21_Message_Queue\01_Message_Queue_Implementation.md","34","No","Yes","No"
"20_Industrial_Case_Studies\30_WAF\01_Web_Application_Firewall.md","34","No","Yes","No"
"20_Industrial_Case_Studies\29_DDOS_Protection\01_DDOS_Mitigation_System.md","34","No","Yes","No"
"20_Industrial_Case_Studies\26_Service_Mesh\01_Service_Mesh_Data_Plane.md","34","No","Yes","No"
"20_Industrial_Case_Studies\19_Search_Engine\01_Search_Engine_Core.md","34","No","Yes","No"
"20_Industrial_Case_Studies\10_File_System\01_FUSE_File_System.md","34","No","Yes","No"
"20_Industrial_Case_Studies\09_Language_Server\01_Clangd_Implementation.md","34","No","Yes","No"
"20_Industrial_Case_Studies\37_Quantum_Computing_Simulator.md","34","No","Yes","No"
"20_Industrial_Case_Studies\18_Blockchain\01_Blockchain_Core.md","34","No","Yes","No"
"20_Industrial_Case_Studies\14_Compiler_Backend\01_LLVMC_Backend.md","34","No","Yes","No"
"20_Industrial_Case_Studies\13_Emulator\01_CPU_Emulator.md","34","No","Yes","No"
"20_Industrial_Case_Studies\31_Identity_Management\01_Authentication_System.md","34","No","Yes","No"
"20_Industrial_Case_Studies\42_Digital_Signal_Processor\01_DSP_Algorithms.md","34","No","Yes","No"
"20_Industrial_Case_Studies\41_Neural_Network_Inference\01_NN_Inference_Engine.md","34","No","Yes","No"
"20_Industrial_Case_Studies\40_Robotic_Arm\01_Robot_Kinematics.md","34","No","Yes","No"
"20_Industrial_Case_Studies\45_5G_Core_Network\01_5G_Core_Implementation.md","34","No","Yes","No"
"20_Industrial_Case_Studies\44_Augmented_Reality\01_AR_Tracking_System.md","34","No","Yes","No"
"20_Industrial_Case_Studies\43_Virtual_Reality\01_VR_Rendering_Engine.md","34","No","Yes","No"
"20_Industrial_Case_Studies\39_Drone_Flight_Control\01_Flight_Control_System.md","34","No","Yes","No"
"20_Industrial_Case_Studies\34_Game_Engine\01_Game_Engine_Architecture.md","34","No","Yes","No"
"20_Industrial_Case_Studies\33_CDN\01_CDN_Edge_Server.md","34","No","Yes","No"
"20_Industrial_Case_Studies\32_Video_Streaming\01_Video_Streaming_Server.md","34","No","Yes","No"
"20_Industrial_Case_Studies\38_Autonomous_Driving\01_Autonomous_Driving_Platform.md","34","No","Yes","No"
"20_Industrial_Case_Studies\36_Mobile_OS\01_Mobile_OS_Kernel.md","34","No","Yes","No"
"20_Industrial_Case_Studies\35_Browser_Engine\01_Browser_Rendering_Engine.md","34","No","Yes","No"
"20_Industrial_Case_Studies\28_Tracing_System.md","34","No","Yes","No"
"12_Practice_Exercises\03_Advanced_Projects\02_TCPIP_Stack.md","34","No","Yes","No"
"12_Practice_Exercises\03_Advanced_Projects\01_Database_Engine.md","34","No","No","No"
"12_Practice_Exercises\02_Intermediate_Projects\02_Redis_Client.md","34","No","No","No"
"12_Practice_Exercises\04_Expert_Challenges\03_Programming_Language.md","34","No","No","No"
"12_Practice_Exercises\04_Expert_Challenges\02_Database_System.md","34","No","No","No"
"12_Practice_Exercises\04_Expert_Challenges\01_Operating_System_Kernel.md","34","No","No","No"
"12_Practice_Exercises\02_Intermediate_Projects\01_HTTP_Server.md","34","No","No","No"
"11_Performance_Engineering\06_Energy_Efficiency\01_Green_Computing.md","34","No","No","No"
"11_Performance_Engineering\05_Profiling_Tools\03_System_Profiling.md","34","No","No","No"
"11_Performance_Engineering\05_Profiling_Tools\02_Memory_Profiling.md","34","No","No","No"
"12_Practice_Exercises\01_Beginner_Projects\02_Shell_Implementation.md","34","No","No","No"
"12_Practice_Exercises\01_Beginner_Projects\01_Text_Editor.md","34","No","No","No"
"11_Performance_Engineering\06_Energy_Efficiency\02_Battery_Optimization.md","34","No","No","No"
"20_Industrial_Case_Studies\03_Compiler_Frontend_Case.md","34","No","Yes","No"
"20_Industrial_Case_Studies\17_Debugger_Implementation.md","34","No","Yes","No"
"20_Industrial_Case_Studies\16_Garbage_Collector.md","34","No","Yes","No"
"20_Industrial_Case_Studies\15_JIT_Compiler.md","34","No","Yes","No"
"20_Industrial_Case_Studies\27_Metrics_System.md","34","No","Yes","No"
"20_Industrial_Case_Studies\24_RPC_Framework.md","34","No","Yes","No"
"20_Industrial_Case_Studies\20_Proxy_Server.md","34","No","Yes","No"
"20_Industrial_Case_Studies\12_Real_Time_Audio.md","34","No","Yes","No"
"20_Industrial_Case_Studies\06_Virtual_Machine_Case.md","34","No","Yes","No"
"20_Industrial_Case_Studies\05_Network_Protocol_Stack_Case.md","34","No","Yes","No"
"20_Industrial_Case_Studies\04_Database_Engine_Case.md","34","No","Yes","No"
"20_Industrial_Case_Studies\11_Container_Runtime.md","34","No","Yes","No"
"20_Industrial_Case_Studies\08_Embedded_Bootloader_Case.md","34","No","Yes","No"
"20_Industrial_Case_Studies\07_Distributed_KV_Store_Case.md","34","No","Yes","No"
"02_Formal_Semantics_and_Physics\09_Type_Theory\02_Dependent_Types_Basics.md","34","No","No","No"
"02_Formal_Semantics_and_Physics\09_Type_Theory\01_Hindley_Milner_Type_Inference.md","34","No","Yes","No"
"01_Core_Knowledge_System\29_Build_Systems\03_Compilation_Model.md","34","No","No","No"
"01_Core_Knowledge_System\15_Compiler_Basics\01_Lexical_Analysis.md","34","No","No","No"
"02_Formal_Semantics_and_Physics\10_Complexity_Theory\02_Algorithmic_Lower_Bounds.md","34","No","No","No"
"02_Formal_Semantics_and_Physics\10_Complexity_Theory\01_Computational_Complexity.md","34","No","No","No"
"01_Core_Knowledge_System\28_Library_Design\01_Library_ABI_Stability.md","34","No","No","No"
"01_Core_Knowledge_System\27_Internationalization\03_Date_Time_Locale.md","34","No","No","No"
"01_Core_Knowledge_System\27_Internationalization\02_Text_Processing.md","34","No","No","No"
"01_Core_Knowledge_System\29_Build_Systems\02_CMake_Basics.md","34","No","No","No"
"01_Core_Knowledge_System\29_Build_Systems\01_Makefiles.md","34","No","No","No"
"01_Core_Knowledge_System\28_Library_Design\02_Versioning_Strategies.md","34","No","No","No"
"02_Formal_Semantics_and_Physics\11_Logic_and_Proof\03_Model_Checking.md","34","No","No","No"
"02_Formal_Semantics_and_Physics\11_Logic_and_Proof\02_Separation_Logic.md","34","No","No","No"
"02_Formal_Semantics_and_Physics\11_Logic_and_Proof\01_Hoare_Logic.md","34","No","No","No"
"02_Formal_Semantics_and_Physics\13_Lambda_Calculus\01_Lambda_Calculus_Basics.md","34","No","No","No"
"02_Formal_Semantics_and_Physics\12_Category_Theory\02_Monads_and_Computation.md","34","No","No","No"
"02_Formal_Semantics_and_Physics\12_Category_Theory\01_Category_Theory_Basics.md","34","No","No","No"
"01_Core_Knowledge_System\14_Advanced_Memory\01_Custom_Memory_Allocators.md","34","No","No","No"
"01_Core_Knowledge_System\14_Advanced_Memory\02_Memory_Debugging_Techniques.md","34","No","No","No"
"01_Core_Knowledge_System\14_Advanced_Memory\03_Memory_Mapping_Techniques.md","34","No","No","No"
"01_Core_Knowledge_System\13_Design_Patterns\01_C_OOP_Patterns.md","34","No","No","No"
"01_Core_Knowledge_System\13_Design_Patterns\02_C_Concurrency_Patterns.md","34","No","No","No"
"01_Core_Knowledge_System\13_Design_Patterns\03_C_Memory_Patterns.md","34","No","No","No"
"01_Core_Knowledge_System\19_Advanced_Pointers\02_Pointer_Aliasing.md","34","No","No","No"
"01_Core_Knowledge_System\19_Advanced_Pointers\01_Function_Pointers.md","34","No","No","No"
"01_Core_Knowledge_System\18_Bit_Manipulation\02_Endianness_Packing.md","34","No","No","No"
"01_Core_Knowledge_System\21_Error_Handling\01_Error_Handling_Patterns.md","34","No","No","No"
"01_Core_Knowledge_System\20_Macros_Preprocessor\02_Header_Guards.md","34","No","No","No"
"01_Core_Knowledge_System\20_Macros_Preprocessor\01_Advanced_Macros.md","34","No","No","No"
"01_Core_Knowledge_System\16_Linked_Data_Structures\02_Tree_Variants.md","34","No","No","No"
"01_Core_Knowledge_System\16_Linked_Data_Structures\01_Linked_List_Variants.md","34","No","No","No"
"01_Core_Knowledge_System\15_Compiler_Basics\02_Syntactic_Analysis.md","34","No","No","No"
"01_Core_Knowledge_System\18_Bit_Manipulation\01_Bit_Hacks.md","34","No","No","No"
"01_Core_Knowledge_System\17_Numerical_Computing\02_Numerical_Stability.md","34","No","No","No"
"01_Core_Knowledge_System\17_Numerical_Computing\01_Floating_Point_Arithmetic.md","34","No","No","No"
"01_Core_Knowledge_System\25_C_Interfacing\02_FFI_with_Other_Languages.md","34","No","No","No"
"01_Core_Knowledge_System\25_C_Interfacing\01_Calling_Conventions.md","34","No","No","No"
"01_Core_Knowledge_System\24_Code_Quality\02_Static_Analysis_Tools.md","34","No","No","No"
"01_Core_Knowledge_System\27_Internationalization\01_Unicode_in_C.md","34","No","No","No"
"01_Core_Knowledge_System\26_Portability\02_Cross_Compilation.md","34","No","No","No"
"01_Core_Knowledge_System\26_Portability\01_Portable_C_Code.md","34","No","No","No"
"01_Core_Knowledge_System\22_Testing_Techniques\02_Integration_Testing.md","34","No","No","No"
"01_Core_Knowledge_System\22_Testing_Techniques\01_Unit_Testing_C.md","34","No","No","No"
"01_Core_Knowledge_System\21_Error_Handling\02_Resource_Management.md","34","No","No","No"
"01_Core_Knowledge_System\24_Code_Quality\01_Code_Metrics.md","34","No","No","No"
"01_Core_Knowledge_System\23_Documentation\02_API_Design.md","34","No","No","No"
"01_Core_Knowledge_System\23_Documentation\01_Code_Comments.md","34","No","No","Yes"
"04_Standard_Library_Frameworks\09_Containers\02_Glib_Data_Structures.md","34","No","No","No"
"04_Standard_Library_Frameworks\09_Containers\01_Klib_Data_Structures.md","34","No","No","No"
"04_Standard_Library_Frameworks\08_Persistence\01_SQLite_Integration.md","34","No","No","No"
"05_C_Language_Standards\05_C23_Standard\01_C23_New_Features.md","34","No","No","No"
"04_Standard_Library_Frameworks\10_Serialization\02_MessagePack_C.md","34","No","No","No"
"04_Standard_Library_Frameworks\10_Serialization\01_Protocol_Buffers_C.md","34","No","No","No"
"03_System_Technology_Domains\25_Cloud_Native\02_Kubernetes_Operators.md","34","No","No","No"
"03_System_Technology_Domains\25_Cloud_Native\01_Microservices_in_C.md","34","No","No","No"
"03_System_Technology_Domains\24_Edge_Computing\02_IoT_Gateway_Development.md","34","No","No","No"
"04_Standard_Library_Frameworks\07_Networking\01_libcurl_Integration.md","34","No","No","No"
"04_Standard_Library_Frameworks\06_Test_Frameworks\01_CMocka_Testing.md","34","No","No","No"
"06_Embedded_Bare_Metal\12_Safety_Critical\02_IEC_61508.md","34","No","No","No"
"06_Embedded_Bare_Metal\11_Industrial_Protocols\02_CAN_Bus_Programming.md","34","No","No","No"
"06_Embedded_Bare_Metal\11_Industrial_Protocols\01_Modbus_Protocol.md","34","No","No","No"
"06_Embedded_Bare_Metal\10_FPGA\02_HLS_C_Programming.md","34","No","No","No"
"20_Industrial_Case_Studies\46_Satellite_Communication\01_Satellite_Ground_System.md","34","No","Yes","No"
"06_Embedded_Bare_Metal\12_Safety_Critical\01_ISO_26262.md","34","No","No","No"
"06_Embedded_Bare_Metal\11_Industrial_Protocols\03_Ethernet_IP.md","34","No","No","No"
"05_C_Language_Standards\06_Standard_Evolution\02_C_Standard_Committee.md","34","No","No","No"
"05_C_Language_Standards\06_Standard_Evolution\01_C_Historical_Evolution.md","34","No","No","No"
"05_C_Language_Standards\05_C23_Standard\02_C23_Migration_Guide.md","34","No","No","No"
"06_Embedded_Bare_Metal\10_FPGA\01_Soft_Core_Programming.md","34","No","No","No"
"06_Embedded_Bare_Metal\09_Embedded_Linux\02_Yocto_Project.md","34","No","No","No"
"05_C_Language_Standards\06_Standard_Evolution\03_C_Implementations.md","34","No","No","No"
"03_System_Technology_Domains\24_Edge_Computing\01_Edge_Device_Programming.md","34","No","No","No"
"03_System_Technology_Domains\14_Natural_Language_Processing\01_Tokenizer_Implementation.md","34","No","No","No"
"01_Core_Knowledge_System\12_Advanced_Topics\01_Volatile_And_Memory_Barriers.md","34","No","Yes","No"
"03_System_Technology_Domains\15_Security_Engineering\01_Exploit_Mitigations.md","34","No","No","No"
"03_System_Technology_Domains\16_High_Performance_Computing\01_MPI_Programming.md","34","No","No","No"
"03_System_Technology_Domains\15_Security_Engineering\02_Secure_Coding_Standards.md","34","No","No","No"
"03_System_Technology_Domains\12_Computer_Graphics\01_OpenGL_C_Integration.md","34","No","No","No"
"02_Formal_Semantics_and_Physics\14_Information_Theory\02_Error_Correcting_Codes.md","34","No","No","No"
"02_Formal_Semantics_and_Physics\14_Information_Theory\01_Information_Theory_Basics.md","34","No","No","No"
"01_Core_Knowledge_System\12_Advanced_Topics\04_Inter_Process_Communication.md","34","No","No","No"
"01_Core_Knowledge_System\12_Advanced_Topics\02_Atomic_Operations_Deep.md","34","No","No","No"
"01_Core_Knowledge_System\12_Advanced_Topics\03_Signal_Handling.md","34","No","No","No"
"03_System_Technology_Domains\17_Distributed_Systems\01_Raft_Consensus.md","34","No","No","No"
"03_System_Technology_Domains\20_Network_Programming\02_Zero_Copy_Networking.md","34","No","No","No"
"03_System_Technology_Domains\22_Virtualization\02_Hypervisor_Design.md","34","No","No","No"
"03_System_Technology_Domains\20_Network_Programming\03_TLS_Implementation.md","34","No","Yes","No"
"03_System_Technology_Domains\21_OS_Internals\03_Kernel_Networking_Stack.md","34","No","Yes","No"
"03_System_Technology_Domains\21_OS_Internals\02_Kernel_Memory_Management.md","34","No","Yes","No"
"03_System_Technology_Domains\17_Distributed_Systems\02_Distributed_Transactions.md","34","No","No","No"
"03_System_Technology_Domains\23_Storage_Systems\01_Distributed_Storage.md","34","No","Yes","No"
"03_System_Technology_Domains\18_Systems_Performance\04_Memory_Optimization.md","34","No","No","No"
"03_System_Technology_Domains\20_Network_Programming\01_Nonblocking_IO.md","34","No","No","No"
"03_System_Technology_Domains\19_Systems_Security\03_Malware_Analysis.md","34","No","No","No"
"02_Formal_Semantics_and_Physics\10_Lean4_Compilation\A1_Martin_Lof_Type_Theory.md","43","No","No","No"
"03_System_Technology_Domains\12_Rust_Interop\01_Rust_C_Interoperability.md","43","No","No","No"
"01_Core_Knowledge_System\04_Standard_Library_Layer\Standard_Library_Internals\README.md","45","No","Yes","No"
"02_Formal_Semantics_and_Physics\11_Category_Theory_Computing\01_Category_Theory_for_Programmers.md","46","No","No","No"
"03_System_Technology_Domains\11_Embedded_Systems\01_Embedded_C_Programming_Principles.md","46","No","Yes","No"
"04_Industrial_Scenarios\Classic_C_Projects\README.md","47","No","No","No"
"03_System_Technology_Domains\14_Concurrency_Parallelism\README.md","48","Yes","No","No"
"02_Formal_Semantics_and_Physics\10_Lean4_Compilation\lean_examples\README.md","71","No","No","No"
"03_System_Technology_Domains\03_OS_Internals\04_Real_Time_Scheduling_Deep_Dive.md","79","No","No","No"
"03_System_Technology_Domains\06_High_Performance_Server\03_High_Performance_Server_Case_Study.md","80","No","Yes","No"
"02_Formal_Semantics_and_Physics\10_Lean4_Compilation\G1_Mathlib4_Typeclass.md","84","No","No","No"
"02_Formal_Semantics_and_Physics\10_Lean4_Compilation\A2_CoC_Proof_Erasure.md","84","No","No","No"
"02_Formal_Semantics_and_Physics\10_Lean4_Compilation\G2_Extraction_Verified_Code.md","87","No","No","No"
"02_Formal_Semantics_and_Physics\10_Lean4_Compilation\H3_Cubical_Type_Theory.md","97","No","No","No"
"02_Formal_Semantics_and_Physics\10_Lean4_Compilation\H1_Quotient_Types.md","98","No","No","No"
